School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Received,B_W_G_Received,Rice_Excess,B_W_G_Excess,Rice_Remaining,B_W_G_Remaining,B_W_G_Temperatures,Rice_Temp,Missed_Food,Next_Day_Projection,Food_Arrival_Time,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,Week,Weekday,Missed_Projection
Ngemwa Primary,08-01-25,Rice and Western,230,216,194,22,0,2,4,1,4,58,70,0,0,2,2,64,71,0,225,8:47:00,12:40:00,12:10:00,I am projecting this number because more kids are still reporting to school.,The food was delicious.,The line management was successful.,"Numbers of actual meals served increased from yesterday's 200,to today's 216 because kids are still reporting back to school.","Failed taps  increased from 2,yesterday's failed taps to 4,today's failed taps because parents did not top up on time.",Lucy Njoki,week1,Wednesday,14
Ngewa Primary,08-01-25,Rice and Western,350,326,326,0,0,2,2,9,3,88,106,0,0,6,7,60,62,0,359,10:45:00,12:40:00,13:10:00,we are expecting more students to attend school tomorrow.,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is 326 which is a increase compared to the yesterday which was 273 since more kids are reporting to school.,There were 2 failed taps today which is a decrease from 5 failed taps yesterday.,Eric Muriithi,week1,Wednesday,24
Njunu Primary,08-01-25,Rice and Western,260,260,239,0,0,2,0,3,0,66,79,10,0,5,6,64,67,0,250,11:55:00,12:10:00,13:30:00,"Projected 250 because we expect new registrations tomorrow and those who have not reported back to school to do so
Primary School: 250",The food was delicious,Queueing was well managed with the help of the teacher on duty,successful taps were 239 an increase of 18 taps from yesterday's 221 successful taps,0 failed taps a decrease of 3 taps from yesterday's 3 failed taps,Samuel Kago,week1,Wednesday,0
Nyaga Primary,08-01-25,Rice and Western,500,458,458,0,0,3,18,14,0,126,151,11.5,0,8,12,60,68,0,500,10:30:00,12:30:00,13:40:00,"We are projecting 500, we are expecting the kids to turn up well and also hoping the number of failed taps to reduce",Food was okay,Queue management was orderly assisted by the teacher on duty,We had 458 actual meals served compared to 391 of yesterday since students are still reporting back.,We had 18 failed taps compared to 13 of yesterday since parents did not top up their accounts., Erick Murage,week1,Wednesday,42
Riamute Primary,08-01-25,Rice and Western,330,333,309,24,0,3,7,6,1,83,100,0,0,1,0,65,70,0,330,9:37:00,12:03:00,13:30:00, We expect the number to increase as we move on and also considering the number of failed taps.,*The food was delicious and hot.,Queues were orderly and organised with the help of TOD,*The number of actual taps was 333 a higher number than previous day which was 320.,We had 7 failed taps today a lower number than previous day which was 13 as we are reminding the kid to tell the parents to top up their accounts., willy ngaruiya,week1,Wednesday,-3
Thuita Primary,08-01-25,Rice and Western,250,242,242,0,0,2,1,3,1,63,76,0,0,2,2,62,66,0,250,9:33:00,12:10:00,12:05:00,Projecting this number because pupils are still  reporting back and new students are joining the school.,The food was delicious,I properly managed the queue without assistance.,The number of actual meals increased from 213 to 242.This is because most  pupils reported back and new students are joining the school.,The number of failed taps decreased from 2 to 1 .One parent forgot to top up the account.,Tabitha Gachi,week1,Wednesday,8
Ak Magugu Primary,09-01-25,Rice and Beans,370,377,342,35,0,3,14,7,5,93,112,13,0,0,0,66.8,75.1,0,350,10:15:00,12:30:00,13:20:00,On Fridays the students turnout is usually low.,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served  reduced from 385 to 377. some kids were absent.,The number of failed taps  reduced from 16 to 14. Respective parents had not topped up their account .,Margaret  Maigua.,week1,Thursday,-7
Gataka Primary,09-01-25,Rice and Beans,250,258,237,21,0,2,5,1,0,63,76,10,0,0,0,64,67,0,260,10:28:00,12:40:00,13:33:00,The turnout will be higher because parents who failed to pay for their kids will do so by tomorrow ,The food was delicious.,The kids were orderly without the assistance of a teacher.,"The total number of actual  meals served rose from 241 to 258, as more parents made payments for their children.",There number of failed taps dropped from 8to 5. We reminded kids to request their parents to top up their accounts to further decrease this number.,Esther  Wanjiru  Kimani,week1,Thursday,-8
Gathaithi Primary,09-01-25,Rice and Beans,530,504,460,44,0,3,12,4,3,133,160,10,0,6.5,7,65.9,74,0,520,8:50:00,12:20:00,13:20:00,Tomorrow we expect more registrations and more turnout.,Food was great.,Teachers on duty helped with line management,Failed taps was 12 a decrease from 18. Some parents topped up their accounts.,Number of actual meals served was 504 a decrease from 514. Some kids missed school.,Jane Wanjiru.,week1,Thursday,26
Gathangari Primary,09-01-25,Rice and Beans,385,379,379,0,0,3,6,3,0,97,116,10,0,2,2,67,71,0,380,11:00:00,12:00:00,13:15:00,We are projecting 380 because the remaining grade 7 kids are expected to report back as from Monday.,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps were 379 which is an increase from yesterday's 370. Some of the grade 7  kids reported back today. The rest are expected to report back on Monday.,"failed taps were 6, a decrease from yesterday's 8. Some parents forgot to top up their accounts and we couldn't reach them.",,week1,Thursday,6
Gathanji Primary,09-01-25,Rice and Beans,300,310,291,19,0,2,11,4,0,76,91,0,0,0,0,58,74.7,0,330,10:30:00,12:00:00,13:40:00,"Being the final day of the week , we expect a slightly lower school turnout. However, grade 7 learners will resuming learning tomorrow.",The meal was delicious and enough for everyone.,line management  was well maintained in the absence of the teachers on duty .,The actual meals served today was 291  compared to 286 yesterday . More learners were present today after clearing their balances.,Failed taps today was 11 decrease from 12 yesterday. Parents topped up accounts on time upon request,Nelson Kageche .,week1,Thursday,-10
Gathiruini Primary,09-01-25,Rice and Beans,290,279,279,0,0,2,5,1,0,73,88,0,0,3,3,60,65,0,280,9:14:00,12:40:00,13:35:00,Am projecting this number because am hoping all the students with failed tap's will top up their accounts on time,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals today were 279 an increase from 274 since more students are reporting back to school.,"failed tap's today were 5  a decrease from yesterday's 6 ,this is because parents didn't  top  up their accounts on time",Catherine wairimu,week1,Thursday,11
Gathugu Primary,09-01-25,Rice and Beans,265,250,250,0,0,2,7,6,0,67,80,10.5,0,4,5,64,65,0,260,10:30:00,12:30:00,13:30:00,Projecting 260 hoping that pupils will report tomorrow,Food was hot,Line was okay,Successful taps decreased from yesterdayÃ¢ÂÂs 254 to today 250 pupils were absent,Failed taps increased from yesterdayÃ¢ÂÂs 5 to today 7 parents didnÃ¢ÂÂt pay,,week1,Thursday,15
Gatina Primary,09-01-25,Rice and Beans,395,393,370,23,0,3,20,8,2,100,119,10,0,1,0,70,74,0,395,10:50:00,12:30:00,13:20:00,We project 395 tomorrow because grade 7 continues to report to school and  grade one students continues to be enrolled.,"The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 393 higher than 377 of yesterday. Some of the kids reported day and parents were able to top up the account on time .,Failed taps have increased  from 13 to 20 .,DENNÃÂ°S KANG'ETHE,week1,Thursday,2
Gatitu Primary,09-01-25,Rice and Beans,360,366,340,26,0,3,6,1,1,91,109,10,0,0,0,65,69,0,370,9:12:00,12:40:00,13:41:00,Am projecting 370 because i expect parents with failed taps to top up,*The food was delicious,*I managed the queue  well.,We had 366 actual taps an increase compared to the 352 we fed yesterday.,,,week1,Thursday,-6
Giathieko Primary,09-01-25,Rice and Beans,185,176,176,0,0,2,3,2,0,46,55,0,0,2,3,68,75,0,180,12:00:00,12:40:00,13:00:00,We are projecting 180 because new kids are registering and kids with failed taps are expected to top up by tomorrow.,The food was delicious,Queues were transitioning well from class to class.,The number of successful taps increased from 175 to 176 as more kids reported back today as well as new kids are registering into the program.,,,week1,Thursday,9
Githiga Primary,09-01-25,Rice and Beans,240,242,229,13,0,3,10,6,3,61,73,10,0,0,0,66,68,0,250,10:01:00,12:30:00,13:30:00,I expect higher turnup tomorrow.,The food was delicious.,The TOD helped with line management.,There were 242 actual taps an increase from 217. There was a higher turnup today.,There was 10 failed taps a decrease from previous 11. Atleast one parent topped up the account.,,week1,Thursday,-2
Githima Primary,09-01-25,Rice and Beans,235,235,235,0,0,2,3,3,1,59,71,0,0,0,0,66,68,0,235,9:47:00,12:40:00,13:30:00,I am projecting 235 students because I am hoping more kids will be reporting tomorrow.,The food was delicious and hot for the kids to enjoy.,"I was able to manage the queue with no difficulty with the help of the teacher on duty and the deputy headteacher,plus the kids were organized.",Actual meals served are 235. compared to yesterday's actual meals served which were 228.More kids  reported today.,We had 3  failed taps which is a decrease from yesterday's 4 failed taps.Parents are topping up on time while others were unreachable.,Brenda wambui kamawe,week1,Thursday,0
Githioro Primary,09-01-25,Rice and Beans,300,299,299,0,0,2,6,2,1,76,91,0,0,0,0,68,65,0,310,9:30:00,12:40:00,13:35:00,we are expecting more students to attend school tomorrow and those with failed taps to remind their parents.,The food was delicious.,The queue was well organized with the help of the teachers on duty.,"Actual meals served today is 299which is an increase compared to yesterday's, which was 289 since more kids are reporting to school.","There were 6 failed taps today, which is an increase from 5 failed taps yesterday. I reminded respective parents to top up their accounts.",Ndungu chege,week1,Thursday,1
Githunguri Primary,09-01-25,Rice and Beans,390,395,370,25,0,3,13,4,2,98,118,10,0,0,0,65.9,70.3,0,390,22:50:00,12:40:00,13:25:00,Tomorrow being on friday we expect the number to remain the same as today.,"The meal was delicious,kids really enjoyed.",line management  was well managed  by the teacher on duty.,The actual meals served today was 395 a  higher than yesterday  376.,"Failed taps today were 13 ,  lower than yesterday 25.  This was a significant drop.",Samy Migwi,week1,Thursday,-5
Gitombo Primary,09-01-25,Rice and Beans,160,159,159,0,0,2,0,1,0,41,49,0,0,0,0,65,70,0,160,8:32:00,12:40:00,13:15:00,Projecting 160 hopefully learners attendance shall progressively escalate.,The food was yummy.,The queue was manageable since learners were self driven.,"Actual meals served today is 159, an increase of 4 from  yesterday's 155 as yesterday's absentees did report back.",Today there was no failed tap as compared yesterday's,Veronica Mwaura,week1,Thursday,1
Ihiga Primary,09-01-25,Rice and Beans,170,161,146,15,0,2,3,0,1,53,52,10,0,5,0,67.2,70.1,0,165,9:28:00,12:40:00,13:15:00,We have projected 165   because we expect the same turn out.,Food was Tasty.,Line management was well organized with assistance from teacher on duty.,Number of Actual meals served was  161 same as yesterday's number which was 161.The turn out was the same as yesterday.,Today's Failed taps was 3 an increase from yesterday's which was 0.Parents didn't top up their accounts.,Naomi Njenga.,week1,Thursday,9
Ikinu Primary,09-01-25,Rice and Beans,1020,1028,969,59,0,5,35,3,15,256,308,0,10,0,0,67,72,0,1020,12:00:00,12:40:00,13:30:00,I expect higher turnup tomorrow as kids continue reporting to school,The food was delicious.,The TOD helped with line management.,There were 1028 actual meals an increase from 993. There was a higher turnup today.,There was 35 failed taps an increase from previous day 25. Parents haven't topped up,,week1,Thursday,-8
Kahunira Primary,09-01-25,Rice and Beans,710,708,637,71,0,4,18,14,12,179,214,13,0,0,0,63.8,73.1,0,700,11:13:00,12:40:00,13:40:00,We project this number because new registration for grade 1 are still going on.,The meal was delicious and enough for everyone.,line management  was well conducted by teacher on duty.,"The actual meals served today increased from 690 to 708 meals served today,this is as a result of ongoing grade 1 registration.","Failed taps were 18 today,an increase from yesterday which was 12, respective parents didn't top up on time.",Mwangi Mary,week1,Thursday,2
Kamondo Primary,09-01-25,Rice and Beans,300,310,291,19,0,3,6,0,6,76,91,0,0,0,0,66,68,0,350,9:50:00,12:40:00,13:30:00,grade 7 kids will be reporting to school tomorrow,The food was tasty and arrived  early,line management  was orderly,310 Actual taps a rise from 270 as grade 4 kids reported to school today,,,week1,Thursday,-10
Kanjai Primary,09-01-25,Rice and Beans,410,383,362,21,0,3,16,5,0,103,124,10,0,4,2,62,72,0,400,10:06:00,12:40:00,13:53:00,Almost all kids have reported back to school expect G6 who will report back on Tuesday.,food was delicious,G8 and G9 delayed taking their meals but the Admin have resolved the issue.,The number of Actual meal serverd has remained constant 383 compared to yesterday.,The number of failed taps has reduced from 24 to 16.,Peninah Njuguna,week1,Thursday,27
Kanyore Primary,09-01-25,Rice and Beans,660,670,670,0,0,3,25,4,3,166,199,10,0,0,0,60.8,65.1,0,680,11:10:00,12:40:00,13:32:00,Projected 680 because more kids are expected to report back by tomorrow.,The food was delicious,Queue was well managed.,The number of successful taps  increased from 644 to 670 because kids are continuing to report.,,,week1,Thursday,-10
Karia Primary,09-01-25,Rice and Beans,460,455,425,30,0,3,13,2,1,116,139,13,0,0,0,63,67,0,470,11:40:00,12:40:00,13:33:00,"A big number has already  reported back to school, and  I expect grade 7 to feed  as they're  reporting back to school tomorrow. ",The food was  delicious,The queue management was smooth. Teachers on duty  assisted.,"The number of actual meals served today is 455. This is an increase from yesterday's 449 meals. Most pupils have  reported back to school, and  their accounts  are credited.","Today's failed taps are  13,an increase from yesterday's  5. Parents did not top up.",Janet Gitau,week1,Thursday,5
Kiaibabu Primary,09-01-25,Rice and Beans,275,262,262,0,0,3,2,1,0,69,83,0,0,2,3,65.1,67.4,0,275,9:28:00,12:30:00,13:25:00,We are projecting this number because the number is slowly stagnating at that level.,food was delicious,queuing was done with moderation  assisted by the TOD,"Tapped successful 262 compared to successful 265 previous day ,a decrease of 3 as some students opted not to eat beans today .",we had 2 failed taps compared to 3 failed taps  yesterday as  parents topped  up their accounts on time.,,week1,Thursday,13
Kiairia Primary,09-01-25,Rice and Beans,205,208,190,18,0,2,2,2,1,52,62,0,0,0,0,55.2,68.8,0,210,11:58:00,12:40:00,12:20:00,We expect  tomorrow  turn up to be a bit  higher compared to today due to ongoing grade one registrations.,The food was delicious kids enjoyed.,Queue was well managed  according to classes.,Actual meals served was 208 this is a higher number  compared yesterday's which was 200.,,,week1,Thursday,-3
Kiambururu Primary,09-01-25,Rice and Beans,280,296,267,29,0,3,5,0,1,71,85,10,0,0,0,61.2,73.9,0,300,12:10:00,12:40:00,13:15:00,We expect the kids with failed taps to update their accounts.,*The food was savoury,*Queues were orderly and well managed by tsm,*The number of actual meals was 296 a higher number in comparison to yesterday's actual meals that were 270,"We had 5 failed taps, a lower number in comparison to yesterday's s failed taps that were 9. The parents had not topped up their accounts .",,week1,Thursday,-16
Kiawaiguru Primary,09-01-25,Rice and Beans,210,207,207,0,0,2,2,1,0,53,64,0,0,1,1,62,79,0,210,9:45:00,12:30:00,13:15:00,We are projecting 210 as we expect the students who missed school to attend,The food was warm and enough,queuing was done with moderation and order of grades,"*Today's successful  taps was 207 compared to yesterday's  200, an increase of 7 as students  attended school in high numbers",Today we had 2 failed taps compared to yesterday's  1 as some parents had not topped up,DAVID NDUNG'U KINYANJUI,week1,Thursday,3
Kiawairia Primary,09-01-25,Rice and Beans,135,130,130,0,0,2,5,0,0,36,43,0,0,1,1,68,68,0,135,9:07:00,12:10:00,13:10:00,We are projecting this number expecting more students to report back to school,food was delicious,queuing was done with moderation  assisted by the TOD,Tapped successful 130 compared to successful 132 previous day a decrease. More parents forgot to top up their accounts,we had 5 failed taps compared to 3 failed taps  yesterday.These are parents who forgot to top up accounts.,,week1,Thursday,5
Kibichoi Primary,09-01-25,Rice and Beans,230,207,207,0,0,2,6,1,1,58,70,7.5,0,8,9,61,74,0,210,10:55:00,12:40:00,13:15:00,"We are projecting 210,we are expecting the kids to turn up well and also hoping that this number will stabilize.",Food was delicious.,Queue management was transitioning from class to class.,We had 207 actual meals served compared to yesterday where we had  220 this is a decrease which was led by kids missing school especially in the lower classes.,We had 6 failed taps compared to yesterday where we had 4 which is an increase.The increase was led by few parents not topping up their accounts.,Beth Kabura,week1,Thursday,23
Kigumo Primary,09-01-25,Rice and Beans,245,220,220,0,0,2,8,1,0,62,74,0,0,6,7,61,74,0,230,10:25:00,12:40:00,13:05:00,"We are projecting 230,we are expecting the kids to turn up well and also hoping that this number will stabilize.",Food was delicious.,Queue management was orderly assisted by the teacher on duty,"We had 220 actual meals served compared to yesterday where we had 232,this is a decrease which was led by kids missing school especially in the lower classes",We had 8 failed taps compared to yesterday where we had 3 which is an increase.The increase was led by few parents not topping up their accounts.,James Marigono Kinyanjui,week1,Thursday,25
Kihuririo Primary,09-01-25,Rice and Beans,510,511,511,0,0,3,6,4,2,128,154,13.5,0,0,0,68,69,0,530,10:00:00,12:50:00,13:40:00,I am  projecting 530 hoping that students with failed taps the parents will pay and also students are still registering.,"The food was  well prepared,hot and delicious.",The TOD helped with line  management.,There were 511 successful taps  increase from 497  students are still reporting back to school.,there were 6 failed  taps a decrease from 13 parents remembered to top up on time.,Anne wairimu,week1,Thursday,-1
Kindiga Primary,09-01-25,Rice and Beans,160,155,143,12,0,2,7,0,2,41,49,0,0,1,1,60.1,66.1,0,160,12:23:00,12:00:00,13:15:00,"We project an increase in Actual meal served as we register new students , and Failed accounts Topped up .",food was Well cooked and taste.,the queues were well organized by the help of TOD,The Actual meal served was 155 An increase from 151 in yesterday's report As more parents topped up the accounts.,failed taps were 7 an increase from 0 Due to insufficient  balances. Parents didn't top up.,,week1,Thursday,5
Komothai Primary,09-01-25,Rice and Beans,185,168,168,0,0,2,2,0,1,47,56,13.5,0,4,5,60,70,0,175,9:45:00,12:30:00,13:25:00,l expect more students to continue reporting and the new ECD kids are still registering.,The food was delicious and hot .,I managed the queues well.,Actual meals served today is 168 which is a higher number compared to yesterday's 166 actual meals. A number of students reported back to school.,Failed taps today was 2 an increase from yesterday's 1 failed tap. The parents forgot to top up their accounts.,Jane Wanjiru,week1,Thursday,17
Lioki Primary,09-01-25,Rice and Beans,170,154,138,16,0,2,24,1,0,43,52,13,0,4,5,65,69.9,0,160,12:15:00,12:30:00,13:40:00,projection is 160 as grade 7 kid will be reporting back on Monday and kids tend to miss school on Friday.,The food was delicious,The queues were well organized .,the number of actual meals served today is 154  from 161.a drop as some kids were absent.,failed taps number is 24   from 12 . parents didn't top up.,,week1,Thursday,16
Mathanja Primary,09-01-25,Rice and Beans,140,135,135,0,0,2,6,0,1,36,43,10,0,1,1,66,67,0,140,11:34:00,12:42:00,13:20:00,am hoping all the kids with failed taps will top up their accounts and also those who have not reported back to come tomorrow.,food was delicious,students were orderly no assistance was needed.,we had 135 successful taps an increase by 4 compared to yesterday since some of the absentees reported today.,we had 6 failed taps a decrease by 1 compared to yesterday. Some of the parents were unreachable when I called but I reminded the students to remind them to top up.,,week1,Thursday,5
Matuguta Primary,09-01-25,Rice and Beans,470,459,420,39,0,3,14,2,4,118,142,10,0,3,3,63.9,71.9,0,450,9:45:00,12:40:00,13:30:00,We expect to feed 450 students since it will be a friday and the number of students back in school is stabilizing. ,food was delicious,Line management was good. Helped by the teacher on duty.,The number of Actual meal served was 459 an increase from 451.This was because students are continuing reporting back to school.,The number of failed taps was 14 an increase from 11.Reminded the kids to remind their parents to top up.,Haron Muiruri,week1,Thursday,11
Miguta Primary,09-01-25,Rice and Beans,270,261,239,22,0,2,3,0,0,68,82,0,0,2.25,2,67,73,0,265,10:22:00,12:45:00,13:30:00,We are expecting more new students.,The food was delicious.,The queue was well managed.,"*There were 261 successful taps, an increase from yesterday's 258 taps, more students reported today.","We had 3 failed taps, an increase from yesterday's one failed tap, parents did not top up.",Anastacia Njoroge,week1,Thursday,9
Miiri Primary,09-01-25,Rice and Beans,385,373,349,24,0,3,20,3,2,97,116,11.5,0,3,0,65,69,0,385,9:23:00,12:30:00,13:30:00,We expect a same or slight increase in turnout.,The food was mouthwatering.,The TOD efficiently managed queue operations.,We had 373 actual meals served compared to 368 of yesterday as more students report back.,Failed taps increased to 20 from 17 as parents had not paid on time.,,week1,Thursday,12
Mitahato Primary,09-01-25,Rice and Beans,300,294,294,0,0,2,9,6,0,76,91,0,0,0,0,62,70,0,310,23:21:00,12:40:00,13:20:00,I expect higher turnup tomorrow. ,The food was delicious.,The TOD helped with line management.,There were 294 Successful taps an increase from 273. There was a higher turnup today.,There was 9 failed taps a decrease from previous 10. Atleast one parent topped up the account.,,week1,Thursday,6
Mukubu Primary,09-01-25,Rice and Beans,230,220,220,0,0,2,1,1,0,58,70,0,0,1,1,68.3,65.1,0,225,10:51:00,12:15:00,13:30:00,I expect higher turnup tomorrow.,The food was  hot and delicious.,I controlled the queue,There were 220Successful taps a decrease from previous taps 221,There was 1failed tap adecrease from  previous taps 5 . parents did the top up,Ruth kimani,week1,Thursday,10
Ndireti Primary,09-01-25,Rice and Beans,240,235,235,0,0,3,12,2,0,61,73,0,0,0,0,63,68,0,240,11:40:00,12:40:00,13:40:00,Am projecting 240 because i expect parents whom i have contacted  today will top up their kids accounts.,*The food was delicious,*I managed the queue  well.,We had 235 actual taps an increase compared to the 231 we fed yesterday.,,,week1,Thursday,5
Ngemwa Primary,09-01-25,Rice and Beans,225,222,199,23,0,2,4,0,1,57,68,0,0,0,0,76,74,0,245,9:09:00,12:50:00,13:30:00,I am projecting this number because grade 7 will be reporting back tomorrow.,The food was delicious.,The line management was successful.,Numbers of actual meals served increased from yesterday's 216 to Today's 222  because more kids reported to school today,Failed taps remained at 4 . The parents did not top up even after reminding them to do so.,Lucy Njoki,week1,Thursday,3
Ngewa Primary,09-01-25,Rice and Beans,350,335,335,0,0,2,10,5,1,88,106,0,0,3,4,61,61,0,350,10:50:00,12:40:00,13:10:00,we are expecting more students to attend school tomorrow.,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is 335 which is a increase compared to the yesterday which was 326 since more kids are reporting to school.,There were 10 failed taps today which is a increase from 2 failed taps yesterday. I reminded respective parents to top up their accounts.,Eric Muriithi,week1,Thursday,15
Njunu Primary,09-01-25,Rice and Beans,250,241,241,0,0,2,1,1,0,63,76,10,10,2,3,62,74,0,250,12:02:00,12:40:00,13:30:00,Tomorrow we expect more registrations and more turnout.,The food was delicious,Queueing was well managed with the help of the teacher on duty,successful taps were 241 an increase of 2 taps from yesterday's 239 successful taps,1 failed tap a increase of 1 tap from yesterday's 0 failed taps,,week1,Thursday,9
Nyaga Primary,09-01-25,Rice and Beans,480,463,463,0,0,3,16,4,2,121,145,11.5,0,2,5,60,70,0,500,10:35:00,12:40:00,13:30:00,"We are projecting 500, we are expecting the kids to turn up well and also hoping the number of failed taps to reduce",Food was okay,Queue management was orderly assisted by the teacher on duty,We had 463 actual meals served compared to 458 of yesterday since students are still reporting back.,We had 15 failed taps compared to 18 of yesterday. Parents topped up,Erick Murage,week1,Thursday,17
Riamute Primary,09-01-25,Rice and Beans,345,320,296,24,0,3,11,2,1,87,104,11.5,0,3,2,70,65,0,330,9:43:00,12:30:00,13:25:00,We expect the number to increase as we move on and also considering the number of failed taps.,*The food was delicious and hot.,Queues were orderly and organised with the help of TOD,*The number of actual taps was 320 a lower number than previous day which was 333.,We had 11 failed taps today a higher number than previous day which was 7 as we are reminding the kid to tell the parents to top up their accounts.,,week1,Thursday,25
Thuita Primary,09-01-25,Rice and Beans,250,251,251,0,0,2,0,2,1,63,76,7,0,0,0,60,70,0,255,11:20:00,12:10:00,13:25:00,Projecting this number because pupils are still reporting back. The pp1 kids are also joining the school.,The food was delicious,I properly managed the queue without assistance.,The number of actual meals increased from 242 to 251.This is because most kids reported back to school and parents paid on time.,The number of failed taps decreased from 1 to 0.,Tabitha Gachi,week1,Thursday,-1
Ak Magugu Primary,10-01-25,Rice and Greengrams,360,379,347,32,0,3,10,1,0,91,109,13,0,0,0,61.6,69.6,0,400,10:50:00,12:30:00,13:15:00,Grade 7 students will report back on Monday.,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served  increased slightly from 377 to 379 since some kids are still reporting back to school.,The number of failed taps  reduced from 14 to 10. Respective parents had not topped up their account .,Margaret  Maigua.,week1,Friday,-19
Gataka Primary,10-01-25,Rice and Greengrams,255,262,241,21,0,2,5,4,0,64,77,10,0,0,0,67,68,0,265,10:38:00,12:30:00,13:27:00,"The turnout will be higher as learning will commence on Monday, and those parents who had not paid for their kids will top up their accounts over the weekend.",The food was delicious.,The kids were orderly without the assistance of a teacher.,"The total number of actual meals served rose from 258 to 262, as more parents made payments for their kids on time.",There number of failed taps remained at 5. We reminded kids to request their parents to top up their accounts to further decrease this number.,Esther  Wanjiru  Kimani,week1,Friday,-7
Gathaithi Primary,10-01-25,Rice and Greengrams,505,519,471,48,0,3,14,0,5,127,65,10,0,0,0,65.5,77.5,0,540,9:01:00,12:35:00,13:25:00,We expect that majority of students will be back to school and settled to begin le,food was good.,Teachers on duty assisted with queue management.,The number of failed taps was 14 an increase from 12 since some parents failed to top up.,The number of actual meals served was 519 an increase from 504. Kids absent yesterday reported back,Jane Wanjiru,week1,Friday,-14
Gathangari Primary,10-01-25,Rice and Greengrams,375,367,367,0,0,3,9,2,0,95,113,10,0,2,2,73,71,0,380,11:05:00,12:00:00,13:30:00,We are projecting 380 because grade 7 kids are expected to report back on Monday. ,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps were 367 which is a decrease from yesterday's 379. Some kids were absent.,"failed taps were 9, an increase from yesterday's 6. Some parents forgot to top up their accounts and we couldn't reach them.",,week1,Friday,8
Gathanji Primary,10-01-25,Rice and Greengrams,310,324,303,21,0,2,14,3,0,78,95,0,0,0,7,62.5,66.7,0,340,10:33:00,12:20:00,13:40:00,I expect numbers to stabilize come next week,The meal was delicious and enough for everyone.,line management  was well maintained by the school captains.,The actual meals served today was 303  compared to 291 yesterday . More learners were present ;  including grade 7 who resumed learning today.,Failed taps today were 14 and increase from 11 yesterday. Parents had not topped up accounts in time .,Nelson Kageche .,week1,Friday,-14
Gathiruini Primary,10-01-25,Rice and Greengrams,275,275,275,0,0,2,2,0,0,69,83,0,0,0,0,65,65,0,275,9:19:00,12:30:00,13:35:00,Am projecting this number because am hoping parents will top up their account on time during the weekend ,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals today were 275 a decrease from 279  due to absentism .,failed taps today were 2  a decrease from 5 this is because parents topped up their accounts on time,Catherine wairimu,week1,Friday,0
Gathugu Primary,10-01-25,Rice and Greengrams,250,261,261,0,0,2,5,1,0,63,76,0,0,0,0,63,62,0,270,10:04:00,12:30:00,13:30:00,Projecting 270 because IÂm hopeful that all pupils will report back to school,Food was hot,queues transitioned properly from class to class,"Successful taps increased from yesterdayÃ¢ÂÂs 250 to today 261, most pupils reported to school.","Failed taps decreased from yesterdayÃ¢ÂÂs 7 to today 5 ,parents topped up",,week1,Friday,-11
Gatina Primary,10-01-25,Rice and Greengrams,395,400,377,23,0,3,11,1,0,100,119,10,0,0,0,74,79,0,410,10:50:00,12:00:00,13:20:00,We project 400 tomorrow because grade 7 continues to report to school and  grade one students continues to be enrolled.,"The meal was delicious,kids really enjoyed.",line management  was well conducted by teacher on duty.,The actual meals served today was 400 higher than 393 of yesterday. Some of the kids reported day and parents were able to top up the account on time .,Failed taps have decreased  from 20 to 11.,DENNÃÂ°S KANG'ETHE,week1,Friday,-5
Gatitu Primary,10-01-25,Rice and Greengrams,360,359,333,26,0,3,8,0,0,92,110,10,0,0,0,66,71,0,370,9:19:00,12:15:00,13:30:00,we expect more students to report back next week,The food was delicious,queue was well managed by the tod,actual meals served were 359 a drop from yesterday's 366.This is because some parents forgot to top up.,Failed taps were 8 an increase  compared to yesterday which were 6.Some parents forgot to top up their accounts,,week1,Friday,1
Giathieko Primary,10-01-25,Rice and Greengrams,175,172,172,0,0,2,5,2,0,44,53,11.5,0,2,2,70,74,0,180,12:05:00,12:40:00,13:00:00, We are projecting 180 because we expect kids with failed taps to top up by monday and kids who are yet to report back to report on Monday.,The food was delicious.,, The queue was transitioning well from class to class.,The number of successful taps reduced from 176 to 172. This was as a result of increased number of failed taps.,George,week1,Friday,3
Githiga Primary,10-01-25,Rice and Greengrams,240,246,234,12,0,3,9,2,2,61,73,10,0,0,0,66,67,0,280,10:12:00,12:30:00,13:20:00,I expect higher turnout as grade 7 will report back to school ,The food was delicious.,The TOD helped with line management.,There were 246 actual taps a rise  from 242. Turnout was high.,There were 9failed taps a decrease from previous 10. Parents did top up their accounts.,Susan,week1,Friday,-6
